"Date","Holiday"
2019-01-01,"New Year's Day"
2019-01-28,"Australia Day"
2019-04-19,"Good Friday"
2019-04-20,"Saturday before Easter Sunday"
2019-04-21,"Easter Sunday"
2019-04-22,"Easter Monday"
2019-04-25,"Anzac Day"
2019-06-10,"Queen's Birthday"
2019-08-05,"Bank Holiday"
2019-10-07,"Labour Day"
2019-12-25,"Christmas Day"
2019-12-26,"Boxing Day"
2020-01-01,"New Year's Day"
2020-01-27,"Australia Day"
2020-04-10,"Good Friday"
2020-04-11,"Easter Saturday - the Saturday following Good Friday"
2020-04-12,"Easter Sunday"
2020-04-13,"Easter Monday"
2020-04-25,"Anzac Day"
2020-06-08,"Queen's Birthday"
2020-08-03,"Bank Holiday"
2020-10-05,"Labour Day"
2020-12-25,"Christmas Day"
2020-12-26,"Boxing Day"
2020-12-28,"Boxing Day (Additional day)"
2021-01-01,"New Year's Day"
2021-01-26,"Australia Day"
2021-04-02,"Good Friday"
2021-04-03,"Easter Saturday"
2021-04-04,"Easter Sunday"
2021-04-05,"Easter Monday"
2021-04-25,"Anzac Day"
2021-06-14,"Queen's Birthday"
2021-08-02,"Bank Holiday"
2021-10-04,"Labour Day"
2021-12-25,"Christmas Day"
2021-12-26,"Boxing Day"
2021-12-27,"Christmas (additional day)"
2021-12-28,"Boxing Day (additional day)"
2022-01-01,"New Year's Day"
2022-01-03,"New Year's Day (additional day)"
2022-01-26,"Australia Day"
2022-04-15,"Good Friday"
2022-04-16,"Easter Saturday - the Saturday following Good Friday"
2022-04-17,"Easter Sunday"
2022-04-18,"Easter Monday"
2022-04-25,"Anzac Day"
2022-06-13,"Queen's Birthday"
2022-08-01,"Bank Holiday"
2022-10-03,"Labour Day"
2022-12-25,"Christmas Day"
2022-12-26,"Boxing Day"
2022-12-27,"Christmas (additional day)"
2023-01-01,"New Year's Day"
2023-01-02,"New Year's Day (observed)"
2023-01-26,"Australia Day"
2023-04-07,"Good Friday"
2023-04-08,"Easter Saturday"
2023-04-09,"Easter Sunday"
2023-04-10,"Easter Monday"
2023-04-25,"Anzac Day"
2023-06-12,"King's Birthday"
2023-08-07,"Bank Holiday"
2023-10-02,"Labour Day"
2023-12-25,"Christmas Day"
2023-12-26,"Boxing Day"
2024-01-01,"New Year's Day"
2024-01-26,"Australia Day"
2024-03-29,"Good Friday"
2024-03-30,"Easter Saturday"
2024-03-31,"Easter Sunday"
2024-04-01,"Easter Monday"
2024-04-25,"Anzac Day"
2024-06-10,"King's Birthday"
2024-08-05,"Bank Holiday"
2024-10-07,"Labour Day"
2024-12-25,"Christmas Day"
2024-12-26,"Boxing Day"
2010-01-01,New Year's Day
2010-01-26,Australia Day
2010-04-02,Good Friday
2010-04-03,Easter Eve
2010-04-04,Easter Sunday
2010-04-05,Easter Monday
2010-04-25,Anzac Day
2010-06-14,Queen's Birthday
2010-10-04,Labour Day
2010-12-27,Christmas Day
2010-12-28,Boxing Day
2011-01-01,New Year's Day
2011-01-26,Australia Day
2011-04-22,Good Friday
2011-04-23,Easter Eve
2011-04-24,Easter Sunday
2011-04-25,Easter Monday
2011-04-25,Anzac Day
2011-06-13,Queen's Birthday
2011-10-03,Labour Day
2011-12-27,Christmas Day
2011-12-26,Boxing Day
2012-01-01,New Year's Day
2012-01-26,Australia Day
2012-04-06,Good Friday
2012-04-07,Easter Eve
2012-04-08,Easter Sunday
2012-04-09,Easter Monday
2012-04-26,Anzac Day
2012-06-11,Queen's Birthday
2012-10-01,Labour Day
2012-12-25,Christmas Day
2012-12-26,Boxing Day
2013-01-01,New Year's Day
2013-01-28,2 Australia Day
2013-03-29,Good Friday
2013-03-30,Easter Saturday - the Saturday following Good Friday
2013-03-31,Easter Sunday
2013-04-01,Easter Monday
2013-04-25,Anzac Day
2013-06-10,Queen's Birthday
2013-08-05,1 Bank Holiday
2013-10-07,Labour Day
2013-12-25,Christmas Day public holiday
2013-12-26,Boxing Day
2014-01-01,New Year's Day
2014-01-27,Australia Day
2014-04-18,Good Friday
2014-04-19,Easter Saturday
2014-04-20,Easter Sunday
2014-04-21,Easter Monday
2014-04-25,Anzac Day
2014-06-09,Queen's Birthday
2014-10-06,Labour Day
2014-12-25,Christmas Day
2014-12-26,Boxing Day
2015-01-01,New Year's Day
2015-01-26,Australia Day
2015-04-03,Good Friday
2015-04-04,Easter Saturday
2015-04-05,Easter Sunday
2015-04-06,Easter Monday
2015-04-25,Anzac Day
2015-06-08,Queen's Birthday
2015-10-05,Labour Day
2015-12-25,Christmas Day
2015-12-28,Boxing Day
2015-01-01,New Year's Day
2015-01-26,Australia Day
2015-04-03,Good Friday
2015-04-04,Easter Saturday
2015-04-05,Easter Sunday
2015-04-06,Easter Monday
2015-04-25,Anzac Day
2015-06-08,Queen's Birthday
2015-10-05,Labour Day
2015-12-25,Christmas Day
2015-12-28,Boxing Day
2016-01-01,New Year's Day
2016-01-26,Australia Day
2016-03-25,Good Friday
2016-03-26,Easter Saturday
2016-03-27,Easter Sunday
2016-03-28,Easter Monday
2016-04-25,Anzac Day
2016-06-13,Queen's Birthday
2016-10-03,Labour Day
2016-12-25,Christmas Day
2016-12-26,Boxing Day
2016-12-27,Christmas Day holiday
2016-01-01,New Year's Day
2016-01-26,Australia Day
2016-03-25,Good Friday
2016-03-26,Easter Saturday
2016-03-27,Easter Sunday
2016-03-28,Easter Monday
2016-04-25,Anzac Day
2016-06-13,Queen's Birthday
2016-10-03,Labour Day
2016-12-25,Christmas Day
2016-12-26,Boxing Day
2016-12-27,Christmas Day holiday
2017-01-01,New Year's Day
2017-01-02,New Year's Day Holiday
2017-01-26,Australia Day
2017-04-14,Good Friday
2017-04-15,Easter Saturday
2017-04-16,Easter Sunday
2017-04-17,Easter Monday
2017-04-25,Anzac Day
2017-06-12,Queen's Birthday
2017-10-02,Labour Day
2017-12-25,Christmas Day
2017-12-26,Boxing Day
2017-01-01,New Year's Day
2017-01-02,Additional day
2017-01-26,Australia Day
2017-04-14,Good Friday
2017-04-15,Easter Saturday
2017-04-16,Easter Sunday
2017-04-17,Easter Monday
2017-04-25,ANZAC Day
2017-06-12,Queen's Birthday
2017-08-07,Bank Holiday
2017-10-02,Labour Day
2017-12-25,Christmas Day
2017-12-26,Boxing Day
2018-01-01,New Year's Day
2018-01-26,Australia Day
2018-03-30,Good Friday
2018-03-31,Easter Saturday
2018-04-01,Easter Sunday
2018-04-02,Easter Monday
2018-04-25,ANZAC Day
2018-06-11,Queen's Birthday
2018-08-06,Bank Holiday
2018-10-01,Labour Day
2018-12-25,Christmas Day
2018-12-26,Boxing Day
